address,class
32GDjgt6R2DW2CeYDbo1ohLAxL66rcojYy,3
1JdtMC5fmzrsPTqAMfhg5dXFTGvgDKm4p,2
bc1vzajkx0u5yyh3hdjtly0cmy94nvnwg374rucc2f,3
1xsGWBusJec9mYnX1K2vsqJ4s,3
bc1z0zccy03gmdx3hxfl5wsr82j88z58umz84xyaj0,2
3oC6SRUjgz6QLrFCTRHFvSrY3zqyvrAVDQ,2
11PvnHhjnfVCD4j4K3UvX4Wr44rQwaa,3
1RaXwCiEPfJKk5Tzz5DGwtsNAq,3
3cze1pJfw877ZGciCdGVur6RH1mdGjYR15,1
bc1u36jyyfuemux8rcudnyamleuqh2aemegermm86w,3
1DfQH5mMWgqL2sGaz3bMnSz7uC3S,2
3ogwjCSxvdf8uWfKhZCfNkBaQqJDncKSgW,3
3xjfHfc6xEKo93zcmTtaiPQ9gtrtnDohTZ,2
bc1ryws32cw6udaw9mwc6gc08wk82uzyvyxd2wp6vc,3
bc1quj07fvu63heu0g0v4eh6al3aj4zdm9g2w2ug7d,2
bc10hp78z7pq86n80r7wgtn7kc9fjajav7xj68kf4e,1
3Z3Xf4e1RVSNtT9BXecvmTpbKFwHTkafLV,2
1DoLthH1w5iVkheVn6DhJaUXRkLhGF7C,3
1xhCjHbmbyqJMJi834Hwdk61HULxFr74V,1
3g9px5FZRbcmPuJbRZ4x6mdG5EZAQgU2HH,1
bc1z8gejexr8ygypen6awwfvg3wnuhnq84mjqc6jc9,2
3SHzSpyUQK7AQVfQm36F7msp1sT4XdVS3G,3
1Sh8ycEAYZ6zuT7qViWGqyFYPvWts,3
1LnG1jqafsSVLmNwsyEPrQKUuPzne9x,3
1L6r6u19sy5nGdQ5LgXxdtVYcEgHE6ymh6,2
1u3oJN9XZnA5scEu9TFF1ougASMbe,3
1TJzr7PMJh2qP1snyukqumEoDCFkm,3
386d3n2N8uKRCnsNWGAvwyJsoU5kEggQrZ,2
11YTgfapw7E2tZvD4puJQ9wJV6t8Tfk,2
bc1dhydr0d7ptw7mr43ltvxrmw45nqe8yjzcxxm2yu,2
1zYo7s8Mnb1G8R74SMbTDcjufJe,1
1rR7iSuK98daiPbJWRn7esYsRtRpQjKK,2
1gU65SkN84xZfQswRv3HK7W9UrM,3
37HERZmdgZcfh2GmvMB9f5jy6XNTAKKwbt,2
135SRcRDWM7gbXJDz4CwmmH7VR8XEZfMQk,1
1vsaaiR72Kocqv6qFbXPJLLAW7WuMjpp,2
1FB9m5xdTZagtezKyKSUdobM5T3,1
15srcWTZntToeKU947uLiWBFSSXAN,2
1mg4dLLZPFrxb95fvJff8i5ZeL8hwzu,2
1W2JxLmCz9JnWYjXfscb9Bhdui3Niyc,1
3nEEynuCgaSmnWRACcs4UNwiW85ATWq6up,3
bc1advtvz82rk2ypa06c0nuqxy7ndc8r85nz6035jk,2
1cERf5y4XWzZPUdyF1nLjdmjL,3
1LeqgyUB8iw3CntKJQpU3eHs3fGoSQSxL,2
1NoG5RRzBJ6LJSiASSjucSen4fQWkA2r,2
3S8EeNx29TNS58NKHx2BXu7mhDchzC85Bi,3
bc1e7l4k3ff9kk9t8le80tjwlyuzvk0ddjy2zwsy63,3
3m8WsqXJAwEwXH5CxGdc6ebaAduLv3s5xm,3
1mReVdHxVogJ54SVCcKijry8NZKU,2
193wsRxupwiCAzUsV6PTEa3HbqgH,2
1RtjmNQaCZ5WmHzg7yPoLwkCWW,2
1ioX9t9wKPcqbWWVZU1L7RJusdb,1
1aiaAdcq9g2w72K9hQmvsj49DKfXKBuLMm,2
3ehcCFZEyJHDhKMwoG8gPypxoHHiMSFUCY,1
bc1kynj84s5pdkrcq3adau0x725azj3haa9u9alv0a,2
bc1auqjrlfl307mwxr9wg9hejc9mu6sz49y28g8c7f,3
31eh47JQWthK7vJcD89kcRYUYfDFks5Sh5,2
34YWa9LX7Ca6WoTWT4ToiPpka3L4zw5w2Q,1
3myeRzPsuNgfYeMBYXjD12JgYXpFMGwj7o,3
1E4bSfsF3SYkn9zEvaampEszX,1
14xtudRVywfnKR9NkUrJiovZyZ8FC,3
3vr6jCGgbsBmjZUsLx1wx7zUFcCvZmPXMG,2
3V6yUqvNRZD9GwaR9LPqVegFpyeVAoAiVv,1
3e42rwfmQqEi1WNcfcVV1Y1XGy1pgou769,3
1FMo5xTFhJq5ze2QNUdh5reLyytvEuhZG,2
bc14g349mqxy66afjjm43vhekzhtr8znnnl25ew83v,3
1f5coi59idjK71JMG8BTZQ2M6bKPHP5uuy,2
3AP9JV4SRV5FFdbC7JxLcoLLpry8KwCKxy,2
1ynKHnNwCzBm2jwDoq5rog9JF9RNTbaX,2
bc1mdp7kenar849nj5572err8h3k8tw4kyl0faz6ht,3
1XM6iT43i2L7ovjWZLRTodBfPjtT,1
1hCko46sBKTGsXebcbMrcphJc,3
1KE7N9PbaRVYvvBAHBqcsxVCPZe,2
1RqV52mHGYATkmY77mpNp3iYz6qkJzTM,1
bc1wlc8ejtk59yxxptg32kfgml4r7ealmym8k6c40j,3
1N5omQkhsTVasr6ydhroQypVKHY8rnt,2
33dq1vATzRzutJss6M5fe4djkR66D5bXS1,2
1zR85Pj6Kt8mk8z9X1eSid9Qgr,3
198jMRnFeFbiHw2rsCcBPenoEP,3
15t1MKPqRYBUz5b1DvxQHimRQeY955vyAK,3
3meeJSxEFv7c4ffB181VMWpGNksj7uLRXG,2
bc150spm99cu4rhqmqpta97pek588a26jr4p8spvum,3
3K6TNHnjFNyznjYo9w2Ydh1LmNjJCzRxy9,2
1vuXhNy568p5ZSxEGKohjKG5C,1
3aAAUQYxDJG7Agph3qL6FMWgGz2QTkFTo9,3
18pNdeaGp24uS8uqL3TAapP2gBDB,3
13cFJQY4H8CtXdooznMYVuWPBKD,2
bc1cplscllr4g6apl8met6m9jekaqk7jjxlu0f0z88,2
