Vendor,Category,Item,Price,Origin
SilentBoss239,Digital/Hacking,Hacked Pure Account,1.268163 BTC,USA/Europe
SilentVendor726,Drugs/Cannabis/Weed,Premium Grade-A Product 10g,0.992487 BTC,Poland
OmegaDirect105,Drugs/Ecstasy/Pills,Lab Ecstasy Tabs 5ct,2.432979 BTC,Poland
VenomSource815,Drugs/Stimulants/Meth,Premium Lab Meth 5g,2.864219 BTC,Czech Republic
VenomMarket709,Drugs/Prescription/Tramadol,Generic Premium Ultram 1ct,4.720707 BTC,UK
BlueStore78,Drugs/Stimulants/Speed,Quality Verified Amphetamine 500g,0.466972 BTC,Switzerland
CryptoDealer638,Drugs/Cannabis/Edibles,Quality Tested Items 14ct,2.04629 BTC,Worldwide
UltraVendor891,Drugs/Opioids/Heroin,Brown Tested Dope 5g,0.380009 BTC,Spain
DeltaMarket543,Drugs/Psychedelics/DMT,Crystal Quality DMT 1g,4.034775 BTC,Netherlands
DeltaMarket608,Fraud/Documents,Lab License Replica,7.129038 BTC,Australia
PharmaSource204,Drugs/Psychedelics/Mushrooms,Psilocybin Tested Mushrooms 5g,0.29966 BTC,Czech Republic
VenomVendor269,Drugs/Prescription/Xanax,Pressed Lab Xanax 250ct,0.83143 BTC,China
ShadowVendor954,Drugs/Stimulants/Speed,Quality Verified Amphetamine 250g,4.232992 BTC,No Info
PureMarket224,Drugs/Prescription/Tramadol,Generic Pure Ultram 7ct,0.519475 BTC,Australia
SilentMaster955,Drugs/Stimulants/Cocaine,Fishscale Verified Coke 7g,1.853954 BTC,Germany
BlueKing295,Drugs/Dissociatives/Ketamine,Research Grade Verified Ketamine 28g,4.630681 BTC,Spain
DeltaMarket608,Drugs/Stimulants/Meth,Premium Tested Meth 25g,1.377027 BTC,UK
UltraDirect809,Drugs/Stimulants/Cocaine,High Purity Tested Cocaine 14g,0.85278 BTC,Switzerland
VenomSource928,Drugs/Prescription/Xanax,Authentic Verified Xanax 10ct,4.284875 BTC,Czech Republic
DeltaStore687,Drugs/Cannabis/Hash,Premium Quality Product 28g,0.699841 BTC,Germany
EliteShop410,Drugs/Ecstasy/Pills,Blue Quality Press 5ct,4.874218 BTC,UK
AlphaStore354,Fraud/Documents,Counterfeit Verified Passport,1.547198 BTC,USA
CryptoLab868,Drugs/Cannabis/Hash,Premium Quantity 2g,2.100507 BTC,No Info
SecureBoss844,Drugs/Prescription/Xanax,Verified Benzo 500ct,6.501556 BTC,Australia
PharmaSource313,Drugs/Stimulants/Speed,Quality Grade-A Amphetamine 100g,3.576052 BTC,UK
BlackMarket588,Drugs/Cannabis/Edibles,Premium Grade-A Product 10g,3.381194 BTC,Netherlands
SpeedDealer285,Drugs/Psychedelics/LSD,High-Dose Tested Tabs 100ct,1.763295 BTC,No Info
